% Model,dns_full_-_inletOutlet_dispersivity_0-029_update_out.mph
% Version,COMSOL 5.3.0.223
% Date,"Jul 10 2017, 18:13"
% Table,Table 3 - Surface Average 1 (c)
% Time (s),Concentration (kg/m^3)
0,1.0000025409113256
1000,1.0000024623173833
2000,1.0000010028161044
3000,0.9999976589000497
4000,0.9999922273456255
5000,0.999985113941882
6000,0.9999772274974496
7000,0.9999695283650463
8000,0.9999625825984952
9000,0.9999562688793698
10000,0.9999496010805526
11000,0.9999405688690423
12000,0.9999258988569301
13000,0.9999006488213144
14000,0.9998575508818628
15000,0.9997860154570538
16000,0.9996707039474376
17000,0.9994895855958389
18000,0.9992114278762917
19000,0.9987927488540124
20000,0.9981743818818147
21000,0.9972779621157505
22000,0.9960027769513411
23000,0.9942235820577777
24000,0.9917899849763265
25000,0.9885278789034625
26000,0.9842432782958153
27000,0.9787285622311092
28000,0.9717708436871351
29000,0.9631619264980507
30000,0.9527090698245024
31000,0.940245673189201
32000,0.9256410447355164
33000,0.9088084572883749
34000,0.8897109432739361
35000,0.8683644903229835
36000,0.8448384916313537
37000,0.8192536076019746
38000,0.7917773310834454
39000,0.7626176704632393
40000,0.7320154724594871
41000,0.7002359302891411
42000,0.6675597769961676
43000,0.6342746354764862
44000,0.6006669172327036
45000,0.5670145602197278
46000,0.5335808104944487
47000,0.5006091759356023
48000,0.46831960029214587
49000,0.436905813740061
50000,0.4065337944109865
51000,0.37734122767748374
52000,0.349437824618835
53000,0.322906376178981
54000,0.29780437088588263
55000,0.27416583602160427
56000,0.25200386047289075
57000,0.23131299011872022
58000,0.21207178993770331
59000,0.1942453108031935
60000,0.17778749984246214
61000,0.16264348967217082
62000,0.14875171212845284
63000,0.13604579932695499
64000,0.1244562738201707
65000,0.11391200697785642
66000,0.10434148334747935
67000,0.09567385926217223
68000,0.08783982743629401
69000,0.08077230478060242
70000,0.07440696334037977
71000,0.06868262292311554
72000,0.06354152245670822
73000,0.05892948672071155
74000,0.0547960049392009
75000,0.05109423686838281
76000,0.047780960233754624
77000,0.04481646932369565
78000,0.04216444971419603
79000,0.039791811392869914
80000,0.037668509980069
81000,0.03576735567999664
82000,0.034063818909243385
83000,0.03253583487929347
84000,0.031163609561824384
85000,0.029929430020611044
86000,0.028817482072692153
87000,0.027813677336874492
88000,0.026905492821426895
89000,0.02608182593475367
90000,0.025332837086377177
91000,0.02464980630098291
92000,0.024025025030237977
93000,0.023451728840126047
94000,0.022923922924318482
95000,0.02243635717677793
96000,0.021984404359194215
97000,0.02156400928569294
98000,0.021171614184417296
99000,0.020804088302158123
100000,0.020458705713308937
101000,0.020133047397051636
102000,0.019825031398846858
103000,0.01953278976422369
104000,0.01925472752100673
105000,0.01898940934692841
106000,0.01873560939358758
107000,0.0184922238095936
108000,0.01825830745964339
109000,0.018033008480565167
110000,0.017815594830191184
111000,0.01760540594626583
112000,0.017401871400706023
113000,0.017204476351031735
114000,0.017012772907520818
115000,0.016826357727866545
116000,0.016644876799760944
117000,0.016468010610806123
118000,0.016295473439628352
119000,0.016127010380308466
120000,0.01596239074442876
121000,0.01580140816160666
122000,0.015643873498901274
123000,0.015489620627773272
124000,0.015338495718120475
125000,0.015190358795621072
126000,0.01504508036504565
127000,0.014902539013292315
128000,0.014762618563974216
129000,0.014625205746806228
130000,0.01449020540769148
131000,0.014357553967007728
132000,0.014227150958261978
133000,0.014098914579139346
134000,0.013972775941059409
135000,0.013848671202682307
136000,0.013726529177523778
137000,0.01360628518455653
138000,0.013487890145654258
139000,0.013371289974727973
140000,0.013256429478465143
141000,0.013143257751837521
142000,0.01303173309712826
143000,0.012921807875024931
144000,0.012813437519308137
145000,0.012706579285352342
146000,0.012601198127113092
147000,0.012497252117994136
148000,0.012394702717865169
149000,0.012293513994640867
150000,0.012193655904284974
151000,0.012095092270300076
152000,0.011997790374866016
153000,0.011901720237715718
154000,0.011806853992704732
155000,0.011713162107501639
156000,0.011620617199327086
157000,0.011529192971365187
158000,0.01143886403088406
159000,0.01134960581988555
160000,0.011261394642889604
161000,0.011174207116747064
162000,0.011088020897865088
163000,0.011002814213359751
164000,0.010918565836472624
165000,0.010835256022252219
166000,0.01075286452127282
167000,0.010671371921404759
168000,0.010590759529487714
169000,0.010511010190532822
170000,0.010432105949252462
171000,0.010354029827176151
172000,0.010276765515785982
173000,0.010200297408304871
174000,0.010124610046666645
175000,0.010049688599865565
176000,0.009975518561672614
177000,0.009902085864544857
178000,0.009829376966378093
179000,0.009757378661506153
180000,0.009686078122088443
181000,0.009615462868886844
182000,0.009545520755401504
183000,0.009476239950222384
184000,0.00940760891675919
185000,0.009339616393924
186000,0.009272251376813583
187000,0.00920550333923115
188000,0.009139363236327741
189000,0.009073820274166394
190000,0.009008864717633479
191000,0.008944487070481379
192000,0.00888067806217687
193000,0.008817428634749913
194000,0.00875472992964229
195000,0.008692573994868837
196000,0.008630952838175053
197000,0.008569857912266618
198000,0.008509281303155926
199000,0.008449215271884527
200000,0.008389652244038755
201000,0.008330584799264795
202000,0.008272005660784376
203000,0.008213909980977985
204000,0.008156289998429227
205000,0.008099139024388875
206000,0.008042450685448121
207000,0.007986218756936475
208000,0.00793043715574454
209000,0.007875099933146425
210000,0.007820201486945996
211000,0.0077657367247990095
212000,0.007711699766262642
213000,0.007658085264581154
214000,0.007604887989759348
215000,0.007552102822426413
216000,0.0074997247476994355
217000,0.007447748849046893
218000,0.00739617068536673
219000,0.007344985605285205
220000,0.007294188885657655
221000,0.00724377604093283
222000,0.007193742666144559
223000,0.0071440844314965765
224000,0.007094797076946626
225000,0.007045876433819775
226000,0.006997319496697521
227000,0.006949121667271165
228000,0.00690127907831015
229000,0.006853787928214726
230000,0.0068066444769282666
231000,0.006759845041849496
232000,0.006713385993744738
233000,0.006667264164728008
234000,0.00662147663886041
235000,0.006576019613191732
236000,0.006530889812038725
237000,0.006486084016711755
238000,0.006441599062789867
239000,0.006397431837395873
240000,0.00635357927647109
241000,0.006310038778485253
242000,0.006266807341950584
243000,0.006223882018000463
244000,0.006181260001028503
245000,0.006138938532332956
246000,0.00609691489804105
247000,0.006055186427033508
248000,0.0060137505095278964
249000,0.00597260470577521
250000,0.005931746389991249
251000,0.0058911730676849796
252000,0.00585088228031525
253000,0.005810871603420794
254000,0.005771138644749889
255000,0.005731681042390607
256000,0.005692496596865908
257000,0.005653583106656127
258000,0.00561493823275143
259000,0.005576559761098533
260000,0.00553844550459553
261000,0.0055005933015573015
262000,0.005463001014180876
263000,0.005425666527010876
264000,0.005388588103836551
265000,0.005351763568218359
266000,0.005315190885507788
267000,0.005278868081200769
268000,0.0052427932040641344
269000,0.00520696432507485
270000,0.005171379536359094
271000,0.0051360370066414985
272000,0.005100935055985136
273000,0.005066071743939322
274000,0.005031445276265346
275000,0.004997053879898334
276000,0.0049628958021905615
277000,0.004928969310155127
278000,0.0048952726897091865
279000,0.004861804293254746
280000,0.004828562458092741
281000,0.0047955455118984065
282000,0.004762751821810483
283000,0.004730179771812249
284000,0.004697827762071498
285000,0.004665694208280191
286000,0.004633777540994398
287000,0.004602076282621346
288000,0.004570588856472582
289000,0.004539313744749913
290000,0.0045082494435318195
291000,0.004477394462074727
292000,0.004446747322241245
293000,0.004416306557928523
294000,0.004386070757687107
295000,0.004356038554776177
296000,0.004326208477822064
297000,0.004296579123839633
298000,0.004267149101778315
299000,0.004237917032106992
300000,0.004208881546398651
301000,0.004180041286915316
302000,0.004151394984385152
303000,0.004122941301885612
304000,0.00409467890582489
305000,0.004066606494853895
306000,0.004038722778544944
307000,0.004011026477104617
308000,0.00398351632108693
309000,0.003956191054719561
310000,0.003929049464453528
311000,0.0039020902935450823
312000,0.003875312317033857
313000,0.0038487143196825526
314000,0.0038222950957365605
315000,0.0037960534486836655
316000,0.0037699881910138373
317000,0.0037440981526858613
318000,0.0037183821717830653
319000,0.003692839081994423
320000,0.003667467732561133
321000,0.0036422669809408835
322000,0.0036172356925910937
323000,0.0035923727407518925
324000,0.003567677006229456
325000,0.00354314741267786
326000,0.003518782847348824
327000,0.0034945822138117266
328000,0.003470544427870704
329000,0.003446668412700334
330000,0.0034229530986779936
331000,0.003399397423215995
332000,0.0033760003413522595
333000,0.003352760847808851
334000,0.0033296778794874803
335000,0.0033067504089240364
336000,0.0032839774160173703
337000,0.0032613578879282248
338000,0.003238890818978205
339000,0.003216575210548745
340000,0.0031944100709801163
341000,0.003172394415470342
342000,0.0031505272659741942
343000,0.0031288076511021526
344000,0.0031072346060194104
345000,0.003085807172344768
346000,0.0030645243980496574
347000,0.0030433853373571145
348000,0.0030223889929174713
349000,0.0030015344668167985
350000,0.0029808208295534753
351000,0.002960247155396786
352000,0.002939812523996319
353000,0.0029195160202658975
354000,0.0028993567342675193
355000,0.0028793337610952484
356000,0.00285944620075919
357000,0.002839693158069302
358000,0.0028200737425194476
359000,0.002800587068171213
360000,0.002781232253537851
361000,0.0027620084214682542
362000,0.0027429146990307824
363000,0.0027239505203497157
364000,0.002705114951559741
365000,0.002686407042700605
366000,0.0026678259572323936
367000,0.0026493708638881588
368000,0.0026310409366149235
369000,0.0026128353545145718
370000,0.0025947533017848727
371000,0.0025767939676603954
372000,0.0025589565463534658
373000,0.0025412402369951437
374000,0.0025236442435761447
375000,0.0025061677748878354
376000,0.0024888100444631417
377000,0.0024715702705175677
378000,0.002454447704326472
379000,0.002437441592679115
380000,0.0024205511397539714
381000,0.0024037755846057786
382000,0.0023871141708734908
383000,0.002370566146727498
384000,0.0023541307648168586
385000,0.002337807282216472
386000,0.002321594960374345
387000,0.002305493065058795
388000,0.0022895008663056508
389000,0.0022736176383654975
390000,0.0022578426596508686
391000,0.002242175212683473
392000,0.002226614584041436
393000,0.0022111600923230817
394000,0.002195811146575894
395000,0.0021805669482084997
396000,0.0021654268055369894
397000,0.002150390031098831
398000,0.002135455941613241
399000,0.0021206238579415315
400000,0.002105893105047395
401000,0.0020912630119572576
402000,0.002076732911720633
403000,0.0020623021413704225
404000,0.002047970041883229
405000,0.0020337359581397724
406000,0.002019599238885134
407000,0.0020055592366891046
408000,0.0019916153079065713
409000,0.0019777668960309857
410000,0.001964013311026942
411000,0.0019503539185032198
412000,0.0019367880930821516
413000,0.0019233152132159064
414000,0.0019099346611541178
415000,0.001896645822911522
416000,0.001883448088235485
417000,0.0018703408505736689
418000,0.001857323507041594
419000,0.0018443954583902693
420000,0.0018315561089737326
421000,0.0018188048667167642
422000,0.0018061411430823505
423000,0.0017935643530394116
424000,0.00178107395086033
425000,0.0017686693520791684
426000,0.0017563499689774715
427000,0.0017441152323500041
428000,0.0017319645764836107
429000,0.0017198974391292243
430000,0.0017079132614739997
431000,0.001696011488113315
432000,0.0016841915670228725
433000,0.0016724529495307735
434000,0.0016607950902895457
435000,0.001649217447248234
436000,0.0016377194816244614
437000,0.0016263006578764992
438000,0.0016149604436753256
439000,0.0016036983319822646
440000,0.0015925138159871668
441000,0.0015814063480129685
442000,0.001570375410459048
443000,0.0015594204889495878
444000,0.0015485410723103219
445000,0.001537736652545159
446000,0.001527006724812914
447000,0.0015163507874039024
448000,0.0015057683417166931
449000,0.0014952588922347468
450000,0.001484821946503095
451000,0.0014744570151049863
452000,0.0014641636116386368
453000,0.001453941252693817
454000,0.0014437894648157178
455000,0.0014337078073611896
456000,0.0014236957755300063
457000,0.0014137528994556316
458000,0.001403878712275218
459000,0.0013940727501102412
460000,0.0013843345520471132
461000,0.0013746636601177644
462000,0.0013650596192803098
463000,0.0013555219773996195
464000,0.001346050285227952
465000,0.0013366440963855672
466000,0.001327302967341339
467000,0.0013180264573933766
468000,0.0013088141286496172
469000,0.0012996655460084713
470000,0.0012905802937050437
471000,0.0012815579321855059
472000,0.0012725980337089898
473000,0.0012637001748681152
474000,0.0012548639349991958
475000,0.0012460888961643682
476000,0.0012373746431336965
477000,0.0012287207633673088
478000,0.0012201268469974752
479000,0.0012115924868107547
480000,0.001203117278230114
481000,0.0011947008192970134
482000,0.0011863427106535496
483000,0.0011780425555245522
484000,0.001169799959699721
485000,0.0011616145334554942
486000,0.0011534858874767662
487000,0.0011454136343176777
488000,0.00113739738996958
489000,0.0011294367729077156
490000,0.0011215314040735791
491000,0.0011136809068572852
492000,0.0011058849070799423
493000,0.0010981430329760431
494000,0.0010904549151757898
495000,0.0010828201866875055
496000,0.0010752384828799936
497000,0.0010677094414648916
498000,0.0010602327024790777
499000,0.0010528079082669875
500000,0.001045434708657515
501000,0.0010381127562387484
502000,0.0010308416934860177
503000,0.0010236211723477016
504000,0.001016450847030384
505000,0.0010093303739823773
506000,0.0010022594118772898
507000,9.95237621597567E-4
508000,9.8826466621803E-4
509000,9.813402109894427E-4
510000,9.744639233220436E-4
511000,9.676354727691079E-4
512000,9.60854531010485E-4
513000,9.541207718361467E-4
514000,9.474338711297451E-4
515000,9.40793509569279E-4
516000,9.341993863401828E-4
517000,9.276511682428815E-4
518000,9.211485402524918E-4
519000,9.146911894182926E-4
520000,9.0827880484919E-4
521000,9.019110776991781E-4
522000,8.955877011528197E-4
523000,8.893083704107185E-4
524000,8.830727826749748E-4
525000,8.768806371346741E-4
526000,8.707316349513356E-4
527000,8.646254792444136E-4
528000,8.585618750767287E-4
529000,8.525405294399665E-4
530000,8.465611512401485E-4
531000,8.406234649926128E-4
532000,8.347271757729428E-4
533000,8.288719969373236E-4
534000,8.230576455281176E-4
535000,8.172838404725385E-4
536000,8.115503025694343E-4
537000,8.058567544760479E-4
538000,8.002029206947574E-4
539000,7.945885275598787E-4
540000,7.890133032243967E-4
541000,7.834769776467413E-4
542000,7.779792825775549E-4
543000,7.725199515464444E-4
544000,7.670987198487559E-4
545000,7.617153245323382E-4
546000,7.563695088081258E-4
547000,7.510610131869382E-4
548000,7.457895777198922E-4
549000,7.40554946623574E-4
550000,7.353568658212089E-4
551000,7.301950829300709E-4
552000,7.250693472488269E-4
553000,7.199794097449402E-4
554000,7.149250230420289E-4
555000,7.099059414072548E-4
556000,7.049219207387029E-4
557000,6.999727185527427E-4
558000,6.95058093971425E-4
559000,6.901778077098527E-4
560000,6.853316220635481E-4
561000,6.805193040612648E-4
562000,6.757406234286009E-4
563000,6.70995342438031E-4
564000,6.662832299466062E-4
565000,6.616040563545278E-4
566000,6.569575935933054E-4
567000,6.523436151139105E-4
568000,6.477618958749553E-4
569000,6.432122123308492E-4
570000,6.386943424199549E-4
571000,6.34208065552767E-4
572000,6.297531626000629E-4
573000,6.253294158810712E-4
574000,6.209366091516303E-4
575000,6.16574527592362E-4
576000,6.122429589846146E-4
577000,6.079417032140988E-4
578000,6.036705404379356E-4
579000,5.994292619316042E-4
580000,5.9521766037282E-4
581000,5.910355298308382E-4
582000,5.868826657557159E-4
583000,5.827588649676178E-4
584000,5.786639256460931E-4
585000,5.74597647319366E-4
586000,5.705598308536272E-4
587000,5.665502784423081E-4
588000,5.625687935953812E-4
589000,5.586151811286421E-4
590000,5.546892471529951E-4
591000,5.507907990637391E-4
592000,5.469196558936711E-4
593000,5.430756223380469E-4
594000,5.392585082911175E-4
595000,5.354681266695734E-4
596000,5.317042916549449E-4
597000,5.279668186838939E-4
598000,5.242555244385289E-4
599000,5.205702268367113E-4
600000,5.169107450223507E-4
601000,5.132768993557278E-4
602000,5.096685114037867E-4
603000,5.060854039304505E-4
604000,5.02527400886919E-4
605000,4.989943274019845E-4
606000,4.954860097723346E-4
607000,4.920022806528898E-4
608000,4.885429691793648E-4
609000,4.8510790214850355E-4
610000,4.816969107933792E-4
611000,4.7830982749179156E-4
612000,4.749464857573389E-4
613000,4.716067202304904E-4
614000,4.682903666696596E-4
615000,4.6499726194226354E-4
616000,4.6172724401580663E-4
617000,4.584801519489438E-4
618000,4.552558258825571E-4
619000,4.5205410703082E-4
620000,4.488748376722757E-4
621000,4.457178611408974E-4
622000,4.425830243865899E-4
623000,4.394701771451967E-4
624000,4.363791614603787E-4
625000,4.3330982512579163E-4
626000,4.302620169690048E-4
627000,4.2723558684327275E-4
628000,4.242303856193003E-4
629000,4.2124626517703713E-4
630000,4.1828307839742834E-4
631000,4.1534067915421555E-4
632000,4.1241892230569287E-4
633000,4.095176636864807E-4
634000,4.0663676009931757E-4
635000,4.037760693068212E-4
636000,4.0093545002326106E-4
637000,3.9811476242590076E-4
638000,3.9531387537129314E-4
639000,3.9253264411790405E-4
640000,3.897709314415868E-4
641000,3.870286010528042E-4
642000,3.8430551758912026E-4
643000,3.816015466077307E-4
644000,3.789165545779695E-4
645000,3.7625040887381627E-4
646000,3.736029777664274E-4
647000,3.709741304166294E-4
648000,3.683637368674455E-4
649000,3.6577166803660485E-4
650000,3.631977957090577E-4
651000,3.606419925294858E-4
652000,3.5810413199481865E-4
653000,3.5558409532035186E-4
654000,3.5308175458420127E-4
655000,3.5059698466871056E-4
656000,3.4812966274411423E-4
657000,3.456796668189812E-4
658000,3.432468757334347E-4
659000,3.40831169152363E-4
660000,3.3843242755865656E-4
661000,3.360505322464021E-4
662000,3.3368536531412825E-4
663000,3.313368096580061E-4
664000,3.290047489650756E-4
665000,3.2668906770646615E-4
666000,3.243896511306119E-4
667000,3.221063852564741E-4
668000,3.19839160888897E-4
669000,3.1758786644124447E-4
670000,3.1535238758921254E-4
671000,3.1313261366276154E-4
672000,3.109284347492563E-4
673000,3.0873974168730444E-4
674000,3.065664260606139E-4
675000,3.044083801918358E-4
676000,3.022654971364139E-4
677000,3.001376706764306E-4
678000,2.980247953144544E-4
679000,2.9592676626739276E-4
680000,2.938434794603321E-4
681000,2.9177483152039016E-4
682000,2.897207197705641E-4
683000,2.8768104407620826E-4
684000,2.8565570696949125E-4
685000,2.8364460412416296E-4
686000,2.816476358476351E-4
687000,2.796647031310018E-4
688000,2.776957076434489E-4
689000,2.757405517266705E-4
690000,2.737991383892822E-4
691000,2.718713713012342E-4
692000,2.699571547882248E-4
693000,2.680563938261133E-4
694000,2.661689940353373E-4
695000,2.642948616753176E-4
696000,2.624339036388843E-4
697000,2.6058602744667887E-4
698000,2.5875114142448854E-4
699000,2.569291604440637E-4
700000,2.5511998934391294E-4
701000,2.5332353833627856E-4
702000,2.5153971825016757E-4
703000,2.4976844052628113E-4
704000,2.4800961721194945E-4
705000,2.462631609560613E-4
706000,2.445289850039962E-4
707000,2.4280700319256028E-4
708000,2.4109712994491145E-4
709000,2.3939928026549967E-4
710000,2.3771336973499394E-4
711000,2.3603931450521618E-4
712000,2.3437703129407212E-4
713000,2.3272643738048444E-4
714000,2.310874575101208E-4
715000,2.2946000735617902E-4
716000,2.2784400442303873E-4
717000,2.2623936853880872E-4
718000,2.2464602009197838E-4
719000,2.2306388002708825E-4
720000,2.2149286984040261E-4
721000,2.1993291157558912E-4
722000,2.1838392781939206E-4
723000,2.1684584169730153E-4
724000,2.1531857686923097E-4
725000,2.138020575251936E-4
726000,2.1229620838097093E-4
727000,2.1080095467379214E-4
728000,2.093162221580049E-4
729000,2.0784193710075054E-4
730000,2.0637802627764015E-4
731000,2.0492441696842433E-4
732000,2.0348103695267186E-4
733000,2.0204781450544108E-4
734000,2.0062467839295398E-4
735000,1.9921155786827257E-4
736000,1.9780838266697116E-4
737000,1.9641508300280962E-4
738000,1.9503158956341273E-4
739000,1.936578335059345E-4
740000,1.9229374645274302E-4
741000,1.909392604870889E-4
742000,1.895943081487792E-4
743000,1.882588224298517E-4
744000,1.8693273712767138E-4
745000,1.856159869437565E-4
746000,1.843085052800298E-4
747000,1.8301022691675592E-4
748000,1.8172108706591657E-4
749000,1.8044102136692512E-4
750000,1.7916996588231395E-4
751000,1.7790785709344165E-4
752000,1.766546318961877E-4
753000,1.754102275966513E-4
754000,1.7417458190685306E-4
755000,1.7294763294043182E-4
756000,1.7172931920834717E-4
757000,1.7051957961457218E-4
758000,1.6931835345180098E-4
759000,1.6812558039713973E-4
760000,1.669412005078115E-4
761000,1.657651542168512E-4
762000,1.645973823288108E-4
763000,1.6343782601544804E-4
764000,1.6228642681143855E-4
765000,1.611431266100633E-4
766000,1.6000786765891551E-4
767000,1.58880592555595E-4
768000,1.5776124424341062E-4
769000,1.5664976600707743E-4
770000,1.5554610146841676E-4
771000,1.5445019458205374E-4
772000,1.5336205889571322E-4
773000,1.5228160010375628E-4
774000,1.5120874762671816E-4
775000,1.5014344786179324E-4
776000,1.4908564756727227E-4
777000,1.4803529385919157E-4
778000,1.4699233420798874E-4
779000,1.459567164351522E-4
780000,1.449283887098766E-4
781000,1.4390729954571362E-4
782000,1.4289339779722322E-4
783000,1.418866326566295E-4
784000,1.4088695365046874E-4
785000,1.398943106362476E-4
786000,1.389086537990895E-4
787000,1.3792993364839225E-4
788000,1.369581010144762E-4
789000,1.3599310704523997E-4
790000,1.3503490320281088E-4
791000,1.3408344126019945E-4
792000,1.3313867329794944E-4
793000,1.3220055170079173E-4
794000,1.312690291542975E-4
795000,1.3034405864152847E-4
796000,1.294255934396926E-4
797000,1.285135871167928E-4
798000,1.276080472595309E-4
799000,1.2670888653804846E-4
800000,1.2581605691151443E-4
801000,1.249295138229542E-4
802000,1.2404921302025697E-4
803000,1.2317511055338464E-4
804000,1.2230716277157976E-4
805000,1.2144532632057549E-4
806000,1.2058955813980338E-4
807000,1.1973981545960342E-4
808000,1.1889605579843255E-4
809000,1.1805823696007305E-4
810000,1.1722631703084287E-4
811000,1.1640025437680175E-4
812000,1.1558000764096334E-4
813000,1.1476553574050277E-4
814000,1.1395679786396423E-4
815000,1.131537534684728E-4
816000,1.1235636227694078E-4
817000,1.115645842752767E-4
818000,1.1077837970959688E-4
819000,1.0999770908343097E-4
820000,1.0922253315493382E-4
821000,1.0845281293409166E-4
822000,1.0768850967993314E-4
823000,1.0692958763771947E-4
824000,1.0617603788014712E-4
825000,1.0542779584909838E-4
826000,1.0468482420483005E-4
827000,1.039470858608552E-4
828000,1.0321454398148164E-4
829000,1.0248716197934745E-4
830000,1.0176490351295885E-4
831000,1.0104773248422885E-4
832000,1.0033561303601044E-4
833000,9.962850954963753E-5
834000,9.892638664245993E-5
835000,9.822920916538165E-5
836000,9.753694220039642E-5
837000,9.684955105812634E-5
838000,9.616700127535751E-5
839000,9.548925861257888E-5
840000,9.481628905151742E-5
841000,9.414805879267706E-5
842000,9.348453425287328E-5
843000,9.282568206277352E-5
844000,9.217146906443157E-5
845000,9.152186230882491E-5
846000,9.087682905339369E-5
847000,9.023633675957553E-5
848000,8.960035309034431E-5
849000,8.896885301737693E-5
850000,8.834182419347605E-5
851000,8.771921351489071E-5
852000,8.710098984924957E-5
853000,8.648712227142404E-5
854000,8.587758006140018E-5
855000,8.527233270214515E-5
856000,8.467134987747719E-5
857000,8.407460146993589E-5
858000,8.348205755864979E-5
859000,8.289368841720735E-5
860000,8.230946451152527E-5
861000,8.172935649771617E-5
862000,8.115333521996107E-5
863000,8.058137170837611E-5
864000,8.001343717688266E-5
865000,7.944950302107627E-5
866000,7.88895408160967E-5
867000,7.833352231449539E-5
868000,7.778141944410646E-5
869000,7.723320430591536E-5
870000,7.668884917192788E-5
871000,7.614832648303913E-5
872000,7.561160884690322E-5
873000,7.507866903580281E-5
874000,7.454947998451776E-5
875000,7.402402817847149E-5
876000,7.350229958249143E-5
877000,7.298424769440765E-5
878000,7.246984656648842E-5
879000,7.19590704236841E-5
880000,7.145189366187945E-5
881000,7.094829084615085E-5
882000,7.044823670901773E-5
883000,6.99517061487005E-5
884000,6.945867422737196E-5
885000,6.89691161694133E-5
886000,6.848300735966855E-5
887000,6.800032334169919E-5
888000,6.752103981603784E-5
889000,6.704513263844324E-5
890000,6.657257781815523E-5
891000,6.610335151614811E-5
892000,6.563743004338683E-5
893000,6.517478985907932E-5
894000,6.47154075689325E-5
895000,6.425925992340669E-5
896000,6.380632381596989E-5
897000,6.335657628135154E-5
898000,6.290999449379845E-5
899000,6.246655576532746E-5
900000,6.202623754398209E-5
901000,6.15890340960681E-5
902000,6.115492562556843E-5
903000,6.072387636597329E-5
904000,6.0295864728868756E-5
905000,5.987086927170056E-5
906000,5.944886869636961E-5
907000,5.9029841847828495E-5
908000,5.8613767712679265E-5
909000,5.820062541776867E-5
910000,5.779039422878712E-5
911000,5.7383053548862545E-5
912000,5.697858291715971E-5
913000,5.657696200747537E-5
914000,5.61781706268362E-5
915000,5.5782188714094504E-5
916000,5.538899633852499E-5
917000,5.499857369842216E-5
918000,5.461090111969741E-5
919000,5.4225959054474146E-5
920000,5.384372807968586E-5
921000,5.346418889567274E-5
922000,5.3087322324778144E-5
923000,5.2713109309944595E-5
924000,5.2341530913312546E-5
925000,5.197256831481505E-5
926000,5.160620281077559E-5
927000,5.12424306973716E-5
928000,5.088122900051872E-5
929000,5.052257284980972E-5
930000,5.016644429626545E-5
931000,4.9812825513116046E-5
932000,4.9461698794633154E-5
933000,4.911304655496306E-5
934000,4.8766851326959625E-5
935000,4.842309576101723E-5
936000,4.808176262390254E-5
937000,4.774283479758891E-5
938000,4.740629527808717E-5
939000,4.70721271742804E-5
940000,4.674031370675543E-5
941000,4.6410838206635995E-5
