% Model,VAM_UC_-_dispersivity_0-029m_-_2017-05-30.mph
% Version,COMSOL 5.3.0.223
% Date,"May 30 2017, 14:56"
% Table,Table 1 (c_n - point_4) - Point Evaluation 1 - c_n (c_n)
% Time (s),"Concentration (kg/m^3), Point: 4"
0,0.999999193791616
1000,0.9999987121749186
2000,0.9999979224583594
3000,0.9999966196658888
4000,0.9999945234594841
5000,0.9999911143911538
6000,0.9999856320884521
7000,0.9999770830336292
8000,0.9999638361821086
9000,0.9999427035540424
10000,0.9999094698605611
11000,0.9998575466671967
12000,0.9997792907795623
13000,0.9996592411265564
14000,0.9994832389167101
15000,0.9992209660098481
16000,0.9988366093572798
17000,0.9982839084525289
18000,0.9974801421051824
19000,0.9963550414471932
20000,0.9947790475578975
21000,0.9926205275199821
22000,0.989713703312592
23000,0.9858397930819744
24000,0.9808085599394444
25000,0.9743588034772839
26000,0.9662522842511806
27000,0.956246284151777
28000,0.9441751067575448
29000,0.9298736960676537
30000,0.9132057893742698
31000,0.8940818896031457
32000,0.8724476976933426
33000,0.8482654004999765
34000,0.8216920610727558
35000,0.792977765073292
36000,0.7622866354530805
37000,0.7298960005466182
38000,0.696141054511752
39000,0.6614242805080077
40000,0.6260830887275065
41000,0.5904515038617969
42000,0.5550319524718499
43000,0.5201078006743662
44000,0.4858773014143716
45000,0.45277199527258444
46000,0.4209609307082628
47000,0.3904959406665588
48000,0.3616001639662782
49000,0.3343366023027298
50000,0.30868126305922605
51000,0.2846055026761794
52000,0.2620796930793713
53000,0.2411103723173048
54000,0.2215665095611288
55000,0.2033798745162301
56000,0.18652347403384328
57000,0.17091853104134794
58000,0.15654317428926107
59000,0.14338621254976716
60000,0.13141245358308884
61000,0.12056819295944646
62000,0.1107613418167359
63000,0.10196493229835858
64000,0.09411043472382687
65000,0.08710765570295445
66000,0.08088857530502372
67000,0.07537653571185891
68000,0.07049918989219714
69000,0.06616634125563194
70000,0.06231245440253675
71000,0.05890445689695977
72000,0.05586282167259962
73000,0.05314109523790097
74000,0.05071775853079989
75000,0.048548007090162396
76000,0.04660250801598203
77000,0.04485621254810636
78000,0.04329246167375111
79000,0.041892793430603946
80000,0.040631031667449934
81000,0.03950194229250181
82000,0.0384944644645201
83000,0.037591418214650583
84000,0.03678580934159359
85000,0.03606645468868424
86000,0.03542070341602485
87000,0.034840855965408736
88000,0.03431758977711909
89000,0.03384023748751723
90000,0.033401037629090094
91000,0.032992117449968925
92000,0.03260682483374123
93000,0.032238132872771455
94000,0.031881205465146896
95000,0.03153577131428968
96000,0.031197972206652685
97000,0.03086656603135712
98000,0.030541375580776756
99000,0.030223288550537866
100000,0.029915286719544222
101000,0.029618954692235577
102000,0.02933062377163576
103000,0.029049973291398065
104000,0.028776682585175788
105000,0.028510430986622214
106000,0.028249095482031982
107000,0.02798802612431347
108000,0.027731819850937804
109000,0.02748047666190499
110000,0.027233996557215027
111000,0.02699237953686791
112000,0.02675562560086365
113000,0.026523734749202235
114000,0.026296706981883678
115000,0.026074542298907967
116000,0.025857240700275105
117000,0.025644802185985097
118000,0.025434654586713935
119000,0.025217899538929042
120000,0.025003920663910495
121000,0.024792717961658276
122000,0.0245842914321724
123000,0.024378641075452866
124000,0.024175766891499664
125000,0.023975668880312804
126000,0.023778347041892283
127000,0.023583801376238098
128000,0.023392031883350255
129000,0.023203038563228747
130000,0.023015540162402044
131000,0.022822464811271023
132000,0.022630721911884737
133000,0.022440311464243193
134000,0.022251233468346385
135000,0.022063487924194308
136000,0.021877074831786962
137000,0.02169199419112436
138000,0.021508246002206487
139000,0.021325830265033346
140000,0.021144746979604945
141000,0.020964996145921275
142000,0.020786577763982343
143000,0.020609491833788147
144000,0.020433738355338682
145000,0.020259317328633952
146000,0.02008622875367396
147000,0.019914472630458705
148000,0.01974404895898818
149000,0.01957495773926239
150000,0.019407198971281337
151000,0.019240772655045018
152000,0.019075678790553434
153000,0.018911917377806585
154000,0.018749484059092693
155000,0.018588254611156627
156000,0.018428347055752373
157000,0.018269761392879932
158000,0.018112497622539307
159000,0.01795655574473049
160000,0.01780193575945349
161000,0.017648637666708305
162000,0.017496661466494926
163000,0.01734600715881337
164000,0.01719667474366362
165000,0.017048664221045683
166000,0.01690197559095956
167000,0.016756608853405252
168000,0.016612564008382753
169000,0.01646984105589207
170000,0.0163284399959332
171000,0.016188360828506144
172000,0.0160496035536109
173000,0.01591216817124747
174000,0.01577605468141585
175000,0.015641263084116046
176000,0.015507793379348054
177000,0.015375645567111873
178000,0.01524481964740751
179000,0.015113001565235405
180000,0.014982119448663926
181000,0.014852358907523
182000,0.014723719941812626
183000,0.014596202551532806
184000,0.01446980673668354
185000,0.014344532497264828
186000,0.014220379833276668
187000,0.014097348744719062
188000,0.013975439231592009
189000,0.01385465129389551
190000,0.013734984931629562
191000,0.013616440144794167
192000,0.013499016933389325
193000,0.013382715297415039
194000,0.013267535236871304
195000,0.013153476751758124
196000,0.013040539842075495
197000,0.012928724507823421
198000,0.0128180307490019
199000,0.012708458565610928
200000,0.012600007957650514
201000,0.012492678925120652
202000,0.012386471468021343
203000,0.012279405568011173
204000,0.012172824298185392
205000,0.012067168829526177
206000,0.011962439162033534
207000,0.011858635295707461
208000,0.011755757230547958
209000,0.011653804966555025
210000,0.011552778503728661
211000,0.01145267784206887
212000,0.011353502981575645
213000,0.011255253922248992
214000,0.011157930664088909
215000,0.011061533207095397
216000,0.010966061551268455
217000,0.01087151569660808
218000,0.010777895643114278
219000,0.010685201390787045
220000,0.010593432939626382
221000,0.01050259028963229
222000,0.010412673440804767
223000,0.010323682393143813
224000,0.01023561714664943
225000,0.010148477701321617
226000,0.010062264057160373
227000,0.009976129146278198
228000,0.009890430933167058
229000,0.009805504200950384
230000,0.009721342970911718
231000,0.009637941264334612
232000,0.009555293102502605
233000,0.009473392506699244
234000,0.009392233498208079
235000,0.009311810098312652
236000,0.00923211632829651
237000,0.009153146209443202
238000,0.009074893763036268
239000,0.00899735301035926
240000,0.00892051797269572
241000,0.008844382671329195
242000,0.008768941127543232
243000,0.008694187362621375
244000,0.00862011539784717
245000,0.008546719254504164
246000,0.008473992953875902
247000,0.008401930517245932
248000,0.008330525965897798
249000,0.008259773321115046
250000,0.008189666604181222
251000,0.008120199836379873
252000,0.008051367038994544
253000,0.00798316223330878
254000,0.007915579440606127
255000,0.007848612682170134
256000,0.0077822559792843455
257000,0.007716503353232306
258000,0.007651348825297562
259000,0.007586786416763658
260000,0.007522810148914144
261000,0.00745941404303256
262000,0.007396592120402458
263000,0.00733433840230738
264000,0.007272646910030874
265000,0.007211511664856485
266000,0.0071509266880677574
267000,0.00709088600094824
268000,0.007031383624781478
269000,0.006972413580851015
270000,0.0069139698904404
271000,0.006856046574833177
272000,0.006798637655312891
273000,0.006741737153163092
274000,0.006685339089667322
275000,0.006629493973332505
276000,0.006574207126514065
277000,0.006519413117698753
278000,0.0064651061682386305
279000,0.006411280499485752
280000,0.006357930332792178
281000,0.006305049889509962
282000,0.006252633390991161
283000,0.006200675058587833
284000,0.006149169113652033
285000,0.006098109777535823
286000,0.006047491271591256
287000,0.005997307817170388
288000,0.005947553635625278
289000,0.005898222948307982
290000,0.005849309976570558
291000,0.005800808941765064
292000,0.005752714065243553
293000,0.005705019568358085
294000,0.005657719672460716
295000,0.005610808598903503
296000,0.005564280569038504
297000,0.005518129804217775
298000,0.0054723505257933715
299000,0.0054269369551173535
300000,0.005381883313541775
301000,0.005337183822418695
302000,0.005292832703100171
303000,0.005248824176938257
304000,0.005205152465285013
305000,0.005161811789492493
306000,0.005118796370912756
307000,0.005076100430897859
308000,0.005033718190799859
309000,0.004991643871970812
310000,0.0049498716957627744
311000,0.004908395883527805
312000,0.004867210656617961
313000,0.004826310236385296
314000,0.00478568884418187
315000,0.004745340701359738
316000,0.00470526002927096
317000,0.004665441049267589
318000,0.0046259588470359565
319000,0.004587728865436212
320000,0.004549815681543427
321000,0.004512215088616289
322000,0.004474922879913489
323000,0.00443793484869372
324000,0.004401246788215669
325000,0.004364854491738029
326000,0.004328753752519488
327000,0.004292940363818739
328000,0.00425741011889447
329000,0.004222158811005373
330000,0.004187182233410138
331000,0.0041524761793674545
332000,0.004118036442136015
333000,0.004083858814974507
334000,0.0040499390911416236
335000,0.004016273063896053
336000,0.003982856526496487
337000,0.003949685272201616
338000,0.003916755094270129
339000,0.0038840617859607182
340000,0.0038516011405320726
341000,0.003819368951242883
342000,0.00378736101135184
343000,0.003755573114117634
344000,0.0037240010527989555
345000,0.0036926406206544945
346000,0.003661487610942942
347000,0.0036305378169229872
348000,0.003599787031853322
349000,0.0035692310489926354
350000,0.0035388656615996184
351000,0.003508686662932963
352000,0.003478689846251356
353000,0.003448871004813491
354000,0.003419225931878057
355000,0.0033897504207037444
356000,0.0033604402645492438
357000,0.0033312912566732457
358000,0.00330229919033444
359000,0.0032734598587915178
360000,0.0032447690553031694
361000,0.0032162225731280844
362000,0.003188606680686184
363000,0.003161570976350651
364000,0.0031347488635565853
365000,0.0031081379522251034
366000,0.0030817358522773233
367000,0.00305554017363436
368000,0.003029548526217332
369000,0.0030037585199473547
370000,0.0029781677647455445
371000,0.0029527738705330195
372000,0.002927574447230895
373000,0.0029025671047602885
374000,0.0028777494530423152
375000,0.002853119101998094
376000,0.0028286736615487393
377000,0.0028044107416153696
378000,0.0027803279521191
379000,0.0027564229029810486
380000,0.0027326932041223315
381000,0.002709136465464065
382000,0.0026857502969273653
383000,0.00266253230843335
384000,0.0026394801099031357
385000,0.0026165913112578387
386000,0.0025938635224185755
387000,0.002571294353306463
388000,0.0025488814138426184
389000,0.0025266223139481575
390000,0.0025045146635441972
391000,0.002482556072551854
392000,0.0024607441508922457
393000,0.002439076508486487
394000,0.0024175507552556957
395000,0.0023961645011209886
396000,0.0023749153560034815
397000,0.002353800929824292
398000,0.002332818832504536
399000,0.002311966673965331
400000,0.002291242064127793
401000,0.0022706426129130387
402000,0.002250165930242185
403000,0.0022298096260363483
404000,0.0022095713102166454
405000,0.0021896542459748005
406000,0.0021704206279014116
407000,0.0021513501978311007
408000,0.002132441737870643
409000,0.002113694030126814
410000,0.0020951058567063906
411000,0.002076675999716147
412000,0.00205840324126286
413000,0.0020402863634533053
414000,0.0020223241483942576
415000,0.0020045153781924935
416000,0.001986858834954789
417000,0.0019693533007879185
418000,0.0019519975577986586
419000,0.001934790388093785
420000,0.0019177305737800735
421000,0.0019008168969642995
422000,0.0018840481397532382
423000,0.0018674230842536668
424000,0.00185094051257236
425000,0.001834599206816093
426000,0.0018183979490916423
427000,0.0018023355215057836
428000,0.0017864107061652927
429000,0.0017706222851769445
430000,0.001754969040647515
431000,0.0017394497546837806
432000,0.0017240632093925166
433000,0.0017088081868804985
434000,0.0016936834692545025
435000,0.0016786878386213038
436000,0.0016638200770876784
437000,0.001649078966760401
438000,0.0016344632897462488
439000,0.0016199718281519968
440000,0.001605603364084421
441000,0.0015913566796502967
442000,0.0015772305569563998
443000,0.0015632237781095064
444000,0.0015493351252163913
445000,0.001535563380383831
446000,0.0015219073257186008
447000,0.0015083657433274764
448000,0.0014949374153172337
449000,0.001481720348639844
450000,0.0014686353625370141
